sum: 617090
exact so 1
disadvantage Had 1
lawn It 1
last abruptly 1
uneasy because 1
like Elizabeth 1
all passed 1
Tom throwing 1
Allen's fears 1
right considering 1
eagerly hunting 1
study A 1
plain dish 1
not shaken 1
Collins which 1
hearing two 1
shall really 1
which bad 1
window the 1
her successor 1
them anything 1
secret reflections 1
pains year 1
behaviour On 1
their equals 1
ever falling 1
finished while 1
an habitual 1
nest of 1
From Pope 1
hurried walks 1
tolerable tranquillity 1
comfort too 1
feeling But 1
debating for 1
everywhere Now 1
turning into 1
dined twice 1
stoutly on 1
those striking 1
Sotherton Her 1
SPOKE of 1
considerable eminence 1
heirs He 1
lay Oxford 1
fourteen miles 1
absence not 1
miles distant 1
better Thank 1
why or 1
all Darcy's 1
guilt Yes 1
into paying 1
were sorry 1
cross She 1
come after 1
Jenkins who 1
comparatively no 1
guide you 1
marry Little 1
return must 1
unfriendly for 1
Fairfax gave 1
entreat them 1
securely as 1
over unavoidable 1
presence drove 1
welcome They 1
the errors 1
being over 1
apartment It 1
walnuts because 1
world worth 1
the ignorance 1
Goddard for 1
ponder over 1
some distinguished 1
apartment In 1
on resuming 1
admitted among 1
naturally blind 1
displeased either 1
introducing my 1
unreasonable and 1
any remissness 1
Marianne brought 1
dependence than 1
and interests 1
of instant 1
and acquaint 1
horses out 1
gate which 1
late spent 1
FINE EYES 1
Thomas knew 1
their lawful 1
learnt a 1
moment confirmed 1
usual process 1
kindness madam 1
Crawford sought 1
very vulgar 1
nor gay 1
embellishment of 1
must remain 1
in chusing 1
Bertram nor 1
example nor 1
readily for 1
Morland's second 1
return if 1
hereafter in 1
that explanation 1
hearts too 1
ring formed 1
syllable has 1
without praise 1
image if 1
party his 1
despair as 1
singing and 1
soon silenced 1
Knightleys together 1
waistcoat which 1
narrowly and 1
dearly loves 1
wife she 1
companion's discourse 1
was deficiency 1
care under 1
his extraordinary 1
Grant's very 1
Willoughby's opinion 1
left Marianne 1
found had 1
Crawford's estate 1
But may 1
nobody equal 1
lead In 1
had directly 1
street How 1
and annihilation 1
English that 1
as wonder 1
kind hardly 1
may exert 1
pain Her 1
own argument 1
me say 1
bear my 1
Emma's good 1
mine till 1
which extravagance 1
took such 1
loved brother 1
considerable stretch 1
four umbrellas 1
indulged which 1
party Their 1
traffic of 1
voice plainly 1
heat only 1
Your kind 1
them reason 1
wet and 1
proceed no 1
this object 1
morning afforded 1
drinking there 1
husband it 1
declared before 1
better You 1
and fourth 1
estimation You 1
amendment in 1
young creature 1
was commended 1
great gallery 1
can walk 1
gowns Take 1
rooms these 1
they pretty 1
a determination 1
Crawford's desire 1
Isabella's husband 1
anything found 1
consequence This 1
months Settle 1
addressing his 1
Margaret it 1
servants looking 1
seldom for 1
am soon 1
spiritless by 1
in Madame 1
its separate 1
upstairs These 1
busy morning 1
cherished They 1
gratitude misleads 1
terror till 1
very necessary 1
sonnets in 1
reasoned Edmund 1
did admire 1
finest flavour 1
to confer 1
her cares 1
tea called 1
THAT though 1
accidentally inquired 1
worst form 1
indiscreetly and 1
a pin 1
sad and 1
herself Hitherto 1
tell Yes 1
is eat 1
sometimes cold 1
days who 1
over Allenham 1
whose success 1
contented answer 1
gentle encouragement 1
are incomprehensible 1
towards entering 1
fine instruments 1
the chicken 1
then sorry 1
everything In 1
such mortifying 1
glory was 1
truth universally 1
still engaged 1
town within 1
or prettier 1
satisfied though 1
to imprint 1
puts him 1
instantly talking 1
first unfolded 1
Watson's as 1
offence A 1
That Miss 1
off Catherine's 1
excepted It 1
could accuse 1
family indeed 1
before After 1
His friend 1
inspect the 1
had Such 1
was unwholesome 1
obliging my 1
finding his 1
reproach me 1
consequences Mrs 1
grew thoroughly 1
Woodhouse lets 1
infamously But 1
expressed on 1
personal intercourse 1
bow window 1
feeling Has 1
every drawer 1
inherit as 1
family his 1
used every 1
Sleep as 1
her exclaim 1
blunders than 1
shews his 1
industriously getting 1
ceaseless tumult 1
Crawford sat 1
heroines must 1
Well remember 1
Crawford say 1
cost but 1
me Elizabeth 1
gratitude will 1
please him 1
intimacy being 1
preserve in 1
will such 1
These schemes 1
Woodhouse's life 1
Peals of 1
Elizabeth's wishes 1
to humble 1
Nancy had 1
appearances and 1
obliging For 1
state Sir 1
not Lovers 1
certainly try 1
inch deep 1
walks about 1
bed Marianne 1
of flannel 1
herself whose 1
general coming 1
our inclinations 1
vexation too 1
grandmother's it 1
jumping and 1
errand It 1
curious anecdote 1
Jane's alertness 1
life rendered 1
income Such 1
been conveyed 1
Again therefore 1
half guineas 1
finest sort 1
sort where 1
about taste 1
liked than 1
Exeter on 1
parting which 1
attendance went 1
formally conducted 1
your generous 1
Nothing is 1
remain there 1
were offering 1
generally give 1
Knightley by 1
do support 1
Nothing in 1
Jane Bennet 1
charade My 1
comparison No 1
meditations still 1
astonishment however 1
sure could 1
horse this 1
left four 1
never achieved 1
inexcusable piece 1
trespassed lately 1
others No 1
whole might 1
inquietude It 1
in using 1
parted too 1
inconvenient indeed 1
shatter brained 1
following Monday 1
many genteel 1
letter instantly 1
as deep 1
had desired 1
impertinent Miss 1
carriages made 1
We feel 1
uncle remained 1
winter She 1
and folded 1
most unnaturally 1
was condemned 1
taken Mr 1
upon opening 1
parson ever 1
lovers to 1
general result 1
don't mind 1
were thirteen 1
thing especially 1
bend as 1
etiquette of 1
her acquitting 1
give notice 1
presence had 1
cold collation 1
mechanically to 1
eager than 1
partial acquaintance 1
comparatively diffident 1
invitations on 1
idle day 1
which engaged 1
one posture 1
afterwards reached 1
party breaking 1
is instantly 1
certainly with 1
behave differently 1
seemed well 1
mountain ash 1
will release 1
fancy imagines 1
to bursts 1
proud a 1
thing till 1
About eighteen 1
unconquerable young 1
lay and 1
save Sir 1
she complained 1
arrivals They 1
start fixed 1
the flirt 1
felt anticipated 1
family sought 1
hearts behind 1
conscience and 1
dreadfully What 1
can deserve 1
consulted One 1
the felling 1
but one's 1
do between 1
finer success 1
broke the 1
watching almost 1
road especially 1
demerits How 1
were charming 1
We explored 1
The Willoughbys 1
Isabella do 1
mystery fold 1
like satisfaction 1
morrow since 1
modest she 1
envelop all 1
by creeping 1
justly scorned 1
effort especially 1
which taste 1
characters by 1
whose excellence 1
abroad were 1
exercise abroad 1
pockets Catherine 1
premises and 1
books grew 1
His consenting 1
grievous From 1
converted I 1
Ferrars's kindness 1
inclination said 1
face when 1
angel And 1
whoever she 1
they hardly 1
detection not 1
good spirit 1
with exactness 1
Elton feeling 1
your statement 1
country seemed 1
house Marianne 1
early period 1
holidays when 1
how comes 1
moment laugh 1
opposition She 1
add another 1
ever falls 1
advisable but 1
the spirited 1
can least 1
doubly engaged 1
each circumstance 1
silence Fanny 1
Crawford's upon 1
Dashwood cried 1
kindest love 1
superiority The 1
always pleasant 1
not contend 1
estimating my 1
Jennings's entering 1
for explanations 1
line Their 1
interfere in 1
she mostly 1
rendered uncommonly 1
weaknesses which 1
ma'am cried 1
At these 1
above if 1
cottage seemed 1
so attentively 1
purposely together 1
occasion How 1
accident if 1
complaints had 1
happy here 1
profession which 1
side Well 1
Darcy's proposals 1
foot from 1
miracle every 1
diligence with 1
conscience conscientious 1
Douglas nor 1
guarded inquiry 1
for discretion 1
defer yours 1
sleepless pain 1
for One 1
Norland or 1
as friendship 1
voluntary promise 1
weaken Isabella 1
poor housemaids 1
shabby and 1
bear you 1
directly Now 1
equally eager 1
useful tell 1
pretty YOU 1
much difficulty 1
kindness Susan 1
Fitzwilliam seemed 1
hereafter wish 1
while made 1
did check 1
said be 1
not estimable 1
latter walked 1
Catherine replied 1
restoration to 1
young wonderfully 1
might establish 1
and involving 1
extent Edmund 1
an advance 1
fifteenth century 1
tell Nor 1
satisfied This 1
cure that 1
my honoured 1
the over 1
house nominally 1
Norfolk at 1
estimation in 1
you does 1
then give 1
their sakes 1
actually conveyed 1
detestable the 1
going indeed 1
personal kindness 1
rode fifty 1
NOT have 1
connected There 1
letters the 1
valued that 1
remove If 1
Harriet's solace 1
only plead 1
suppose of 1
promise had 1
near one 1
every place 1
present solicitude 1
amount He 1
foolish opinions 1
kind kind 1
her familiarly 1
revealed where 1
he quietly 1
whatever unwilling 1
jealous if 1
conduct would 1
exertions were 1
thrilling words 1
towards ONE 1
so briskly 1
short disquisition 1
what guests 1
Reluctantly and 1
worldly propriety 1
dance begun 1
found attempting 1
THIS we 1
gentlemen shortly 1
thankfully accepted 1
stolen away 1
Bennet himself 1
exertion now 1
enjoy in 1
parade Her 1
unsearched and 1
attachment They 1
slow walker 1
its purpose 1
might gradually 1
accomplished at 1
visit a 1
illness convinced 1
gentleman did 1
judicious attention 1
he endeavoured 1
missed to 1
has brought 1
statement but 1
instantly quitted 1
try his 1
not fetched 1
be doubtful 1
risk But 1
repeatedly turned 1
encouraged even 1
explanation that 1
certain stamp 1
imitate his 1
circles Allow 1
synonymously A 1
Their gentleness 1
felicities was 1
comprehended health 1
though where 1
tempered with 1
living under 1
hope now 1
give Mr 1
noisy every 1
know had 1
you Certainly 1
on chance 1
mind may 1
flattered was 1
been visiting 1
scarcely within 1
excuses my 1
is My 1
in HIS 1
of jokes 1
reply the 1
accustomary employments 1
every distress 1
Willoughby hunts 1
relationship of 1
first sought 1
private theatre 1
without imprudence 1
grateful surprise 1
very probable 1
me envious 1
go eight 1
much answer 1
was NOW 1
excuse when 1
sources she 1
painfully obtruded 1
bred she 1
Chapter 49 1
Chapter 48 1
their hour 1
amazing horrid 1
dislike against 1
yes pray 1
Chapter 43 1
Chapter 42 1
drinking his 1
or patience 1
Chapter 47 1
Chapter 46 1
Chapter 45 1
Chapter 44 1
the hackney 1
nature cannot 1
first endeavour 1
natured wishes 1
you observed 1
protection would 1
reproof or 1
his triumph 1
offence But 1
Norris whose 1
sallow and 1
hole and 1
pass Mr 1
one Such 1
previous inquiries 1
I saying 1
talk more 1
coldest heart 1
I visit 1
mutual civility 1
most high 1
But Tom's 1
suggested no 1
civil behaved 1
of polished 1
treasure beyond 1
courted her 1
more prized 1
plan John 1
did mention 1
This conviction 1
Morland must 1
worst subjects 1
betrayed nothing 1
short said 1
and encounter 1
to Dawlish 1
glance from 1
turned on 1
thus been 1
though serious 1
of judge 1
continued about 1
Agatha does 1
them marry 1
should communicate 1
quest for 1
evening SHE 1
ascertained Mr 1
friend related 1
cadet of 1
interesting The 1
leaving Edmund 1
order refreshments 1
and breadth 1
Bingley He 1
or furniture 1
no symptoms 1
continued Depend 1
that Morland 1
cold attended 1
affair stood 1
what immediately 1
bring an 1
satisfactory gave 1
welcome variety 1
retirement closed 1
hunting and 1
means might 1
her decease 1
gave exercise 1
unreasonable direction 1
best You 1
kindness my 1
treated rather 1
fight your 1
arrival there 1
share without 1
boasted either 1
general little 1
Lydia's marriage 1
act about 1
principal inhabitants 1
pianoforte alternately 1
am fearful 1
esteem when 1
he afford 1
knew for 1
chamber where 1
accordingly and 1
Weston's faithful 1
this Mary 1
gift from 1
force If 1
superadded dread 1
both being 1
in Jane 1
vowed at 1
not painted 1
these parties 1
indulgent especially 1
woman He 1
pure genuine 1
dressed their 1
Isabella's though 1
country And 1
upright conduct 1
by second 1
benefit It 1
tempers of 1
trimming a 1
urgent in 1
been uttered 1
have pleasant 1
enough His 1
blockhead I 1
forward Could 1
Pray how 1
tolerable powerful 1
Not unfrequently 1
instruction a 1
going though 1
Scott you 1
day Jackson 1
observe enough 1
the rapture 1
withdrew his 1
laughing One 1
enquiry after 1
down an 1
found Elizabeth 1
forcibly for 1
dislike Mrs 1
fatal to 1
for attack 1
supplication could 1
aunt no 1
contents MY 1
HE has 1
Elton cared 1
short Those 1
anything as 1
fault I 1
want observation 1
contents My 1
Jennings's side 1
and symptoms 1
to Turner's 1
society on 1
space and 1
handwriting often 1
reappeared and 1
barbarously insolent 1
loved Harriet 1
artificial I 1
our parting 1
your dwelling 1
was Oh 1
place gains 1
claim She 1
binding Henry 1
or repeated 1
governess you 1
down she 1
entreaties all 1
little emotion 1
parents urged 1
both protesting 1
second must 1
it stated 1
conversation ought 1
saw superciliousness 1
The walk 1
Miss Walker 1
Parsonage within 1
consent I 1
my shadow 1
thing established 1
very nicely 1
substance to 1
moment near 1
often alas 1
discretion originality 1
Gray that 1
old Gentleman's 1
now find 1
an undoubted 1
if duped 1
guests Darcy 1
the talking 1
being previously 1
has ordered 1
resistance had 1
Richard's cravats 1
ever present 1
have We 1
am cooler 1
greedy eye 1
general since 1
rationally as 1
Day and 1
well enjoyed 1
lane again 1
imagination without 1
Colonel write 1
now married 1
o'clock she 1
horse by 1
of dislike 1
been meditating 1
motion was 1
letter been 1
end After 1
their dressing 1
breast had 1
daughter heard 1
very encouraging 1
one's carriage 1
then forswear 1
could enrich 1
sober facts 1
kindness vouchsafed 1
desired you 1
still screamed 1
come Certainly 1
found Miss 1
envy Cannot 1
valued is 1
unrestrained even 1
few shapeless 1
person without 1
suddenly away 1
command from 1
same passages 1
inasmuch as 1
had required 1
your wants 1
idea just 1
no allowance 1
roses has 1
good humored 1
unexhilarating to 1
be quartered 1
her did 1
cried May 1
hurried happy 1
a lawn 1
No till 1
idea for 1
such effect 1
last point 1
glasses of 1
heath blossoms 1
the Island 1
the bleak 1
wondered he 1
state how 1
estimation your 1
comes of 1
manner And 1
uncommon I 1
go their 1
open but 1
other anxiety 1
Never even 1
of strange 1
ascended for 1
spoken highly 1
Highbury will 1
mad Her 1
gentleman's family 1
only desiring 1
without vouchsafing 1
dull time 1
herself satisfied 1
Yet having 1
dancing Emma 1
wainscot and 1
Darcy grieved 1
equally forlorn 1
light headed 1
their knives 1
be'd and 1
relieves the 1
Martin Oh 1
Thomas complete 1
first sorry 1
probably repent 1
because for 1
not apply 1
different With 1
time Why 1
anger there 1
astonishment I 1
from self 1
herself cooled 1
shrubbery without 1
unconcerned which 1
miles being 1
about conjecturing 1
sentence in 1
merit Mr 1
sentence is 1
Nancy my 1
your sending 1
no ma'am 1
perhaps replied 1
am commissioned 1
true He 1
hint for 1
inhabit overcame 1
for submitting 1
engaged these 1
suspect her 1
lasting benefit 1
since all 1
immediately Their 1
abusive without 1
our mode 1
aspect rendered 1
to familiarise 1
way whenever 1
she an 1
new living 1
or goodness 1
herself how 1
his scruples 1
cried these 1
Mary stopping 1
first offer 1
hands the 1
thoroughly up 1
gay were 1
To escape 1
negligent and 1
The female 1
thinks and 1
leave This 1
charming game 1
began In 1
motive sufficient 1
cannot stand 1
evil such 1
entrance within 1
or denied 1
eye over 1
forced from 1
beheld a 1
chooses Nobody 1
she any 1
after proceeding 1
parents said 1
Brandon for 1
ill be 1
TO him 1
YOUR turn 1
place himself 1
earth that 1
consultation about 1
alleviate so 1
senses Miss 1
Emma apprehended 1
and YOU 1
employed everything 1
naturally indifferent 1
plan better 1
loud voice 1
nor write 1
recollected an 1
complimenting Mr 1
is lively 1
teaching others 1
tread such 1
body her 1
Jones therefore 1
Fairfax walked 1
presumption so 1
once After 1
feelings found 1
scrupulous indeed 1
them help 1
reasonable judgment 1
replied Margaret 1
conducted on 1
want while 1
a receipt 1
Really with 1
great set 1
fallen little 1
pleasant Then 1
And last 1
and Allens 1
they naturally 1
appeared again 1
begged he 1
conversation submitted 1
END NORTHANGER 1
Marlborough cried 1
had thankfully 1
the unwearied 1
at Stoke 1
procuring him 1
Bravo An 1
remove she 1
talking this 1
husband impatiently 1
to excel 1
you ye 1
suspended and 1
accidently dropped 1
strong resemblance 1
first seized 1
procuring his 1
Edmund got 1
Jones says 1
motives Mr 1
change so 1
minute after 1
mind Upon 1
the footmen 1
Better not 1
parents of 1
step as 1
At Hartfield 1
but amongst 1
CATCHING him 1
worthy man 1
parents or 1
when about 1
following manner 1
death or 1
little show 1
Anne was 1
money therefore 1
2 MY 1
crowd Mr 1
in mental 1
through Sir 1
exertion They 1
our conveying 1
noisy evil 1
joining with 1
here speaking 1
opposing what 1
2 Mr 1
interference whether 1
Long has 1
guinea to 1
understanding should 1
trunk When 1
next She 1
life together 1
humanity or 1
puppyism You 1
tranquillity might 1
eye fell 1
She approached 1
in specimens 1
Post captains 1
soul that 1
ran about 1
There with 1
as THEY 1
across and 1
Emma's breakfast 1
cousins dear 1
and grief 1
favourite Now 1
impudent Write 1
soul than 1
away Sure 1
clever shewed 1
has cried 1
favourite If 1
honour us 1
any table 1
union could 1
his relief 1
entangled I 1
The suggestion 1
very shamefully 1
Emma allowed 1
juniors distant 1
my encroaching 1
earnest shake 1
morning's rehearsal 1
little distinctions 1
severe camp 1
severely the 1
quite handsome 1
Elizabeth struck 1
answer no 1
Radcliffe would 1
to counterbalance 1
married against 1
noted down 1
were visitors 1
Everingham it 1
subject knows 1
with We 1
am dressed 1
you undertook 1
go her 1
Heavens You 1
your pursuit 1
nor sorrow 1
Marianne received 1
in showers 1
this either 1
charge she 1
sent first 1
consulting expediency 1
lady's observation 1
great opposition 1
me excessively 1
inforced change 1
nearly concluded 1
world alone 1
death made 1
self and 1
standing still 1
figures passing 1
is reckoned 1
instinctively turned 1
move The 1
Agatha was 1
felt your 1
Thomas Palmer 1
Betsey my 1
Broadwood's the 1
the taller 1
could join 1
every unbound 1
being affected 1
those delightful 1
assist than 1
hearted Elinor 1
anyone could 1
dictating in 1
government to 1
building stand 1
once sitting 1
naturally turned 1
or leaving 1
champion and 1
remember Emma's 1
loss a 1
brother's indifference 1
wine Mr 1
My astonishment 1
sufficiently before 1
whatever manner 1
coolly to 1
has blessed 1
her confusion 1
parent so 1
intention no 1
actual decease 1
attracted This 1
arising probably 1
as cutting 1
chilly Your 1
if on 1
these scenes 1
has PARTICULARLY 1
Everybody has 1
presently he 1
points who 1
were sensibly 1
likewise retreated 1
they evidently 1
stirring out 1
dictate or 1
I deal 1
dictate of 1
speaking amazement 1
ago Marianne 1
to right 1
adventurous people 1
consultation it 1
your will 1
more tender 1
stress on 1
proceeding He 1
scandalous Miss 1
ear to 1
Ferrars's death 1
a plentiful 1
done His 1
now Now 1
party a 1
those he 1
her blind 1
absence health 1
have minded 1
daily expectation 1
us A 1
a predisposed 1
truest friend 1
wrong measures 1
like YOU 1
party A 1
old witch 1
alike He 1
Everybody had 1
actually held 1
Colonel's behaviour 1
endure she 1
learn something 1
individually it 1
failure after 1
so perfect 1
way only 1
so As 1
commission One 1
seemed announced 1
might incline 1
now understood 1
mama when 1
give increasing 1
father came 1
so Ah 1
into resolution 1
haughty composure 1
see again 1
delight Fortunately 1
constrained at 1
of blunders 1
subject elevated 1
sorrow and 1
Charles writes 1
what coachmaker's 1
cruel situation 1
kind You 1
interview to 1
Henry loved 1
reproving spirit 1
pieces in 1
finest place 1
Bath Miss 1
know play 1
men had 1
latter circumstance 1
better however 1
Elton gone 1
not wound 1
so distressed 1
objectionable it 1
hardly at 1
importance had 1
considerably worse 1
resentful sensation 1
often arise 1
bake or 1
her imagine 1
now there 1
held between 1
both families 1
all exclaimed 1
nonsense Lizzy 1
guess is 1
risking too 1
merely her 1
be unconscious 1
Smith message 1
cordiality but 1
suffering a 1
patient The 1
am your 1
recollect some 1
neighbours who 1
valued taste 1
and deceit 1
Her wish 1
the squire 1
breast there 1
and repetitions 1
regiment Their 1
repinings at 1
taking half 1
first understood 1
heart became 1
climate is 1
experience in 1
opinion justify 1
approach through 1
own warehouses 1
hoping in 1
this Portsmouth 1
no comforts 1
afterwards upon 1
or repellent 1
agreeing as 1
respecting their 1
fondling of 1
belie his 1
exactly who 1
immediately ready 1
letter but 1
notions her 1
and Maple 1
staggered by 1
upstairs upon 1
views William 1
visible friends 1
party Leave 1
really made 1
talk was 1
Afterwards he 1
she requested 1
sound that 1
family library 1
variation If 1
gentlemen advanced 1
might like 1
well make 1
Jenkinson in 1
Highbury belonged 1
quadrille and 1
remarkable coincidence 1
sacrifice is 1
sums of 1
world Depend 1
these happy 1
his eloquence 1
here once 1
army is 1
dreading a 1
other's shins 1
to Wednesday 1
magnificent orders 1
yourself There 1
seen your 1
wife Depend 1
Randalls most 1
settle though 1
completely easy 1
weather you 1
such arguments 1
Casino to 1
WE think 1
perhaps afforded 1
decidedly says 1
judgment Well 1
in plenty 1
happily I 1
only exchanged 1
tone not 1
think Sometimes 1
had His 1
not previously 1
which waits 1
as prevented 1
pompous woman 1
listened not 1
Dashwood again 1
worse off 1
set might 1
faint tried 1
transition to 1
your care 1
have other 1
health friends 1
reasons I 1
She observed 1
Brandon's marrying 1
girls always 1
as towards 1
bitter aggravation 1
shew by 1
watching Mr 1
proper conditions 1
jealousy old 1
hundredth abridger 1
Nay he 1
to lace 1
old days 1
other apology 1
with life 1
as earthly 1
her geraniums 1
Brighton together 1
characters required 1
for control 1
suspecting them 1
he stepped 1
turn round 1
passed much 1
Price Fanny 1
events now 1
imperfection might 1
then lowering 1
knoll or 1
captain and 1
ease often 1
counterpart of 1
ceases towards 1
night how 1
linen in 1
jokes The 1
meeting had 1
whose fine 1
his grown 1
Advise was 1
village I 1
misery the 1
inevitable that 1
Kitty stared 1
a repartee 1
behind Perfectly 1
its warmth 1
quiet modest 1
entangled by 1
expect WHAT 1
she survived 1
pin myself 1
into himself 1
it further 1
gentleness their 1
Castle to 1
follows him 1
agitate her 1
May she 1
fever by 1
courtier could 1
looks their 1
warmly I 1
family partiality 1
Maria even 1
unawares quite 1
never saved 1
was fondly 1
losses at 1
peculiar delight 1
richest of 1
godmother old 1
introduced here 1
provoke Darcy 1
His objections 1
rapacious of 1
go post 1
clever man 1
matrimonial happiness 1
more wrong 1
remember so 1
XI The 1
pantry but 1
bill in 1
as Devonshire 1
branched out 1
And nobody 1
name were 1
regard springing 1
Sterne are 1
tolerably frequent 1
high south 1
Yes honourable 1
relieved and 1
this intelligence 1
fortnight Emma 1
light cheerful 1
Harriet Poor 1
how mad 1
beloved she 1
performed one 1
ride twice 1
soon return 1
been secluded 1
refreshments was 1
happiness worth 1
how may 1
feel only 1
Astonished and 1
the George 1
going thither 1
always leading 1
calculated from 1
he feel 1
risk my 1
lecturer and 1
see That 1
suspicious part 1
resigning all 1
absolutely silent 1
every glimpse 1
moved so 1
own wealth 1
stronger She 1
Palmer's dressing 1
were agreed 1
party will 1
robbed Edmund 1
further consideration 1
does relate 1
disagreeable Such 1
she dares 1
most restless 1
in wanderings 1
love Willoughby 1
married pair 1
refuse his 1
humble mood 1
improve them 1
the fading 1
smiling than 1
day against 1
as liable 1
fancy how 1
room therefore 1
The youth 1
Vicarage You 1
women All 1
been Though 1
large slices 1
and neatly 1
possible They 1
turn by 1
one's friends 1
malady itself 1
its drawback 1
how terribly 1
used even 1
same glance 1
Jane's being 1
dessert succeeded 1
Fanny watching 1
civilly answering 1
By tea 1
gloomy aspect 1
or artfully 1
silent was 1
Willoughby's since 1
called Miss 1
just passable 1
more settled 1
unhappy Isabella 1
being He 1
reflected how 1
judicious improvement 1
little they 1
motive because 1
bonnets The 1
first Aye 1
something wanted 1
melancholy day 1
And sure 1
expense no 1
country Miss 1
generally confined 1
somewhat easier 1
non attendance 1
first seeing 1
since some 1
penetration at 1
seen many 1
so fluently 1
attachment became 1
the heroines 1
this same 1
produce that 1
single oath 1
recollected sooner 1
face whose 1
The forbearance 1
you seize 1
joyfully treasured 1
obsequiousness self 1
well Miss 1
its sorrows 1
Emma accepted 1
more music 1
sister's engagement 1
very shop 1
considering our 1
hair had 1
ordained Mr 1
just able 1
very shoe 1
the disorders 1
thing ought 1
indeed made 1
Tilney looking 1
absented herself 1
receiving strength 1
unsafe subject 1
though grateful 1
by going 1
rational pleasures 1
singing hero 1
became henceforth 1
down people 1
two fathers 1
seemed pleased 1
give just 1
civil about 1
any sound 1
very deservedly 1
whose beautiful 1
increasing She 1
what principally 1
suffering but 1
are great 1
sly about 1
another promise 1
noticed by 1
communicate what 1
produced this 1
couple You 1
cooled by 1
Yes what 1
unexampled passion 1
thrown them 1
Emma playfully 1
glaring sun 1
length Lucy 1
the nearer 1
much suspected 1
shopping She 1
Prepare for 1
charms She 1
Derbyshire I 1
friends leading 1
home many 1
gifted with 1
family Do 1
dulness of 1
readily answer 1
subdue the 1
you beyond 1
MY heart 1
from reserve 1
required when 1
conference led 1
then threw 1
hope Humph 1
property at 1
new sensations 1
now had 1
may carry 1
remained some 1
Any other 1
place If 1
explaining its 1
now seeing 1
cold Tom 1
early love 1
was nearer 1
faces for 1
expressive profile 1
concert and 1
passing thoughts 1
some suggesting 1
thought returned 1
just ascertained 1
immediately told 1
distressing If 1
to Alice 1
qualify his 1
seemed changed 1
Crawford entered 1
unconscious nor 1
whist party 1
procured William's 1
pools and 1
a brighter 1
something totally 1
Smith making 1
their parts 1
being young 1
the illiterate 1
family there 1
Certainly there 1
Brandon By 1
Parsonage But 1
chair behind 1
employments and 1
little sympathy 1
been tried 1
recommended Mrs 1
sweetmeats and 1
felicity Mr 1
of shocking 1
Kitty She 1
would blame 1
chairs Oh 1
shall chuse 1
thou mayst 1
pretty sir 1
is exceedingly 1
charms there 1
unlock its 1
sudden whirling 1
heart ever 1
believe give 1
cold indeed 1
Kitty have 1
most absent 1
communicating its 1
be oftener 1
curiously inlaid 1
never exert 1
despising them 1
wholly undeserved 1
believed most 1
to respectable 1
lips were 1
occurrences or 1
absence extended 1
burst away 1
That has 1
remember once 1
herself differently 1
remembering them 1
Perry could 1
novels are 1
her disinterested 1
as occasion 1
Another thing 1
digression of 1
lodgings Mr 1
while at 1
Thomas's assurances 1
digression on 1
Come in 1
near changing 1
its destined 1
perhaps heard 1
village must 1
who changes 1
will thrive 1
is grieving 1
tremour as 1
situation The 1
were listened 1
ascended even 1
Thorpe's had 1
not Well 1
give farther 1
concern thereupon 1
for appearance 1
ranks every 1
in default 1
village road 1
person behaviour 1
denials of 1
greatest passion 1
differ there 1
you myself 1
as frequent 1
Indeed Harriet 1
Delicacy to 1
than unwilling 1
ball chiefly 1
left school 1
them once 1
eyes closed 1
attended their 1
already foreseen 1
refer to 1
gentleman among 1
Let sister 1
midnight assassins 1
but tender 1
loved either 1
rehearsal You 1
FAITH was 1
end looking 1
butter she 1
merits there 1
wish Hetty 1
she possesses 1
or intelligence 1
unworthy attachment 1
a ditch 1
might swell 1
be insinuating 1
came Mr 1
ever stirred 1
that corner 1
now becoming 1
and deservedly 1
sings all 1
them choose 1
reconciled me 1
faulty But 1
the drawer 1
Jennings went 1
herself nervous 1
could NOT 1
not repine 1
all learn 1
Why Colonel 1
seeing much 1
Woodhouse has 1
approbation inferior 1
the exceedingly 1
badge of 1
Soft is 1
seaside which 1
Northanger by 1
be unequivocal 1
law which 1
stay There 1
love used 1
basis in 1
general chosen 1
rather suspected 1
was recovering 1
prepared my 1
face again 1
lived about 1
should fire 1
argue him 1
presumption and 1
smiles now 1
Amusing enough 1
arm herself 1
gracious gracious 1
assistant a 1
now claimed 1
appears so 1
jealousy had 1
strong drifting 1
Denny denied 1
Your younger 1
council and 1
characters too 1
third or 1
separate her 1
in warm 1
conviction rendered 1
less acknowledged 1
portraits but 1
gallop on 1
double unkindness 1
present between 1
gusts of 1
the melted 1
daughters His 1
daughter's courage 1
regiment whether 1
water plant 1
pity everybody 1
now offering 1
quite dote 1
the probity 1
poulterer perhaps 1
or speak 1
Hurst reminded 1
some underhand 1
feelings altered 1
Marianne MY 1
How playful 1
supposed inmate 1
war together 1
paper If 1
own representations 1
carelessness I 1
Marianne My 1
cups and 1
gained even 1
present future 1
agreeable Want 1
Miss Jenkinson 1
wishes Another 1
head Ah 1
mind now 1
made The 1
salary to 1
right cried 1
any set 1
reserve prevailed 1
from actual 1
her conjectures 1
common concern 1
seem inclined 1
Hill this 1
farther remonstrance 1
MY health 1
her looked 1
tomorrow But 1
and greatcoated 1
this considering 1
is therefore 1
lost As 1
previously were 1
instantly pleased 1
such variety 1
Fanny sitting 1
mine They 1
apples of 1
handsome her 1
fond treatment 1
deference seeming 1
all exultation 1
comfortable that 1
and principle 1
